id,min_estimated_time,max_estimated_time,owner,vertical,lab_overview,what_you_will_do,title_autoslug,title,visible_instructors
4761,45,60,"{'id': 16122994, 'title': 'Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer', 'url': '/user/stephane-maarek/'}",gen_ai,"<p>In this lab, participants will take on the role of a prompt engineer helping the customer support team in enhancing the efficiency and quality of responses using OpenAI’s GPT model. Participants will work on iterative prompt refinement, which mirrors real-world on-the-job scenarios where support teams must provide accurate and empathetic responses across a variety of customer queries.</p><p>The lab is designed with a multi-task, project-based approach, culminating in the development of a refined, high-quality prompt suitable for automated customer interactions.</p>","{'items': [""Create effective AI prompts tailored for various real-world scenarios using OpenAI's GPT model"", 'Iteratively refine prompts to improve response quality, clarity, and professionalism.', 'Incorporate empathy and emotional intelligence into AI-generated responses', 'Adapt AI prompts to handle diverse and complex situations while maintaining consistency in tone and accuracy of information']}",iterative-prompt-development-using-prompt-engineering-with-openai,Iterative Prompt Development using Prompt Engineering with OpenAI,"[{'id': 16122994, 'title': 'Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer', 'url': '/user/stephane-maarek/'}, {'id': 94372896, 'title': 'Abhishek Singh', 'url': '/user/abhishek-singh-20032/'}]"
4759,45,90,"{'id': 23883614, 'title': 'Timotius Pamungkas', 'url': '/user/timotius-pamungkas/'}",gen_ai,"<p>You are a QA Software Engineer at a loan company. The QA&nbsp;Manager wants engineers to use ChatGPT&nbsp;to speed up the testing lifecycle, particularly when:</p><ul><li><p>creating initial test scenarios for functionality testing</p></li><li><p>creating negative test cases by finding possible defects or ambiguity based on user requirements</p></li></ul><p>As a senior QA&nbsp;engineer, you are tasked to create prompt templates for engineers to use when creating test scenarios. You will use business requirements to create these templates.</p>",{'items': ['Write effective prompts for testing software functionality based on business requirement documents']},use-chatgpt-to-create-test-scenarios-for-qa-engineers,Use ChatGPT to Create Test Scenarios for QA Engineers,"[{'id': 23883614, 'title': 'Timotius Pamungkas', 'url': '/user/timotius-pamungkas/'}]"
4753,60,90,"{'id': 93844932, 'title': 'Praveenkumar Bouna', 'url': '/user/praveenkumar-bouna/'}",gen_ai,"<p>As a developer at BrezyWeather, you have been assigned to develop a weather report generator. This generator should be capable of interpreting natural language descriptions of the weather and extracting organized data, such as temperature. The intended functionality is for this feature to be accessible as a <strong>RESTful AP</strong>I using <strong>LangServe</strong> and <strong>FastAPI</strong>, allowing external clients to utilize the extracted weather data efficiently.</p>","{'items': ['Build a RESTful API using FastAPI.', 'Integrate LangChain for natural language processing tasks.', 'Create and manage API endpoints with FastAPI.']}",building-a-restful-weather-api-using-langchain-and-langserve,Building a RESTful Weather API using LangChain and LangServe,"[{'id': 93844932, 'title': 'Praveenkumar Bouna', 'url': '/user/praveenkumar-bouna/'}]"
4751,45,60,"{'id': 23218620, 'title': 'Valentin Despa', 'url': '/user/valentin-despa/'}",gen_ai,"<p>You are a prompt engineer at an AI consulting firm. One of your clients is concerned about a vulnerability known as ""prompt leakage"" in their AI-powered chatbot. Your task is to craft a prompt that intentionally triggers a prompt leak, testing whether the system is vulnerable to this issue. Once the vulnerability is demonstrated, your next step is to refine the original prompt to minimize the risk of prompt leakage. The goal is to provide the client with a secure, optimized prompt design that reduces the likelihood of the system inadvertently revealing prompt details or sensitive information.</p>","{'items': ['Understand how prompt leaks expose sensitive information from the prompt.', 'Demonstrate prompt injection attacks', 'Optimize prompts to prevent prompt leaking', 'Identify potential prompt leakage scenarios using a security assessment checklist.', 'Write effective prompts']}",prompt-engineering-securing-against-exposure-and-prompt-leaking,Prompt Engineering: Securing Against Exposure and Prompt Leaking,"[{'id': 23218620, 'title': 'Valentin Despa', 'url': '/user/valentin-despa/'}]"
4749,60,120,"{'id': 18861496, 'title': 'Faisal Memon', 'url': '/user/faisal-memon-3/'}",web,"<p>You are a Junior Front-End Developer at TalentFlow Solutions, a company specializing in HR software. Your team is developing an <strong>employee onboarding portal</strong> that streamlines the process of gathering essential information from new hires. The portal will guide new employees through multiple steps to collect personal information, set up accounts, configure preferences, and provide additional details. Each step should be validated, and the progress of the onboarding process should be tracked.</p><p>Your task is to build this multi-step onboarding portal using <strong>Angular</strong>, ensuring it is responsive, user-friendly, and adheres to best practices. You will implement services to manage state across the steps, use a mock backend API for data handling, and ensure the proper validation of each form step before progressing. The final goal is to simulate submitting this data to an API upon completion.</p>","{'items': [""Implement a mock API using Angular's in-memory web API to simulate backend functionality."", 'Build a multi-step onboarding form with Angular reactive forms.', ""Validate form inputs using Angular's built-in validation mechanisms."", 'Manage state across multiple steps of the onboarding process with services.', 'Demonstrate how to handle user preferences and additional information within a form.', 'Submit onboarding data to a backend (or simulated API) and handle the submission process effectively.', 'Navigate between form steps while ensuring the data is preserved and validated.']}",master-building-dynamic-onboarding-forms-in-angular-hands-on-multi-step-form-development,Master Building Dynamic Onboarding Forms in Angular: Hands-On Multi-Step Form Development,"[{'id': 18861496, 'title': 'Faisal Memon', 'url': '/user/faisal-memon-3/'}]"
4747,60,120,"{'id': 18861496, 'title': 'Faisal Memon', 'url': '/user/faisal-memon-3/'}",web,"<p>You are a Junior Front-End Developer at ShopEase, an e-commerce platform focused on delivering a seamless shopping experience. Your current project is to develop a product catalog application that allows users to browse products, view detailed information, and manage a shopping cart. The application should include filtering and sorting features, integration with a mock backend API, and a responsive design for various devices. Your task is to build this product catalog using Angular, focusing on creating an intuitive and efficient user experience that aligns with e-commerce industry standards</p>","{'items': ['Implement product search functionality to filter products by name or category dynamically using Angular.', 'Integrate a mock backend API using angular-in-memory-web-api to handle HTTP requests for product data, filtering, and sorting without needing a live server.', 'Develop a dynamic and responsive product catalog that allows users to browse, filter, sort, and view products in detail, with real-time updates and pagination.', 'Create a Quick View modal for products to provide a brief overview of product details when a user clicks on the ""Quick View"" button.', 'Set up a dynamic filtering and sorting system to allow users to filter products by category and sort by attributes like price or popularity.', 'Utilize Angular Material components to enhance the user interface and ensure a consistent, responsive design across all devices.', 'Utilize Angular Material components to enhance the user interface, including modals, buttons, and forms']}",build-a-real-world-e-commerce-product-catalog-project-using-angular-boost-your-portfolio,Build a Real-World E-Commerce Product Catalog Project using Angular | Boost Your Portfolio,"[{'id': 18861496, 'title': 'Faisal Memon', 'url': '/user/faisal-memon-3/'}]"
4745,60,120,"{'id': 18861496, 'title': 'Faisal Memon', 'url': '/user/faisal-memon-3/'}",web,"<p>You are a Front-End Developer at <strong>PCorp,</strong> a tech company focused on developing internal tools for employee management. Your team has been assigned a project to create an <strong>Employee Directory Application</strong> that will be used by both regular employees and administrators to view, manage, and export employee data.</p><p>The goal is to create a robust, user-friendly interface where employees can search for their colleagues, view detailed profiles, and filter results based on departments and job titles. Administrators will have additional responsibilities such as the ability to delete employees from the directory and export the employee data to CSV format for further analysis.</p><p>Your task is to build this directory application using <strong>Angular</strong>, ensuring it is responsive, scalable, and easy to maintain. You will implement key features such as <strong>real-time search</strong>, <strong>pagination</strong>, <strong>filtering</strong>, and <strong>profile viewing</strong>, while also handling access control to ensure only authorized users (admins) can perform critical actions like deleting or exporting data.</p><p>You'll work on developing core components, setting up routing, managing data fetching, and ensuring a smooth user experience through the app flow. Ensure that the design is accessible and user-friendly for both desktop and mobile users.</p>","{'items': ['Implement Authentication by integrating a login system using a mock API and protecting routes with AuthGuard.', 'Develop an Employee Directory that allows users to search, filter, and sort employees in real-time with pagination.', 'Manage Role-Based Access Control by allowing admin users to delete employees and export data, while restricting these actions for regular users.', 'Create and Navigate Employee Profiles with detailed information and seamless transitions between sections.', 'Implement Data Export functionality, enabling admin users to download employee data as a CSV file.', 'Design a Responsive UI using Bootstrap to ensure the application looks and functions well on different devices.', 'Handle API Integration by connecting to a mock data API for fetching employee data and performing CRUD operations.', 'Test and Validate Features to ensure smooth and secure functionality across the application, including real-time search, filtering, sorting, & role-based access']}",build-a-dynamic-employee-directory-with-real-time-search-filters-csv-options-using-angular,"Build a Dynamic Employee Directory with Real-Time Search, Filters, CSV Options using Angular","[{'id': 18861496, 'title': 'Faisal Memon', 'url': '/user/faisal-memon-3/'}]"
4743,60,120,"{'id': 18861496, 'title': 'Faisal Memon', 'url': '/user/faisal-memon-3/'}",web,"<p>You are a Junior Front-End Developer at RetailRevamp, a leading retail technology firm that specializes in developing innovative solutions to enhance customer experiences. The Customer Relations Team has identified a need for a more effective way to collect and manage customer feedback. Your manager, Alex, has tasked you with building a customer feedback portal that will enable users to easily submit their feedback, view feedback from others, and rate its helpfulness.</p><p>The portal must provide real-time notifications for user interactions such as submitting feedback and rating feedback helpfulness. Additionally, the Admin Team needs a dedicated panel to manage feedback effectively, with functionalities like approving, deleting, or responding to customer feedback. The project should be completed using Angular, with a focus on seamless backend integration, form handling, and error management. Your manager expects you to deliver a user-friendly, responsive application that aligns with RetailRevamp’s goal of maximizing customer satisfaction and engagement.</p>","{'items': ['Implement role-based access control to secure different sections of an Angular application based on user roles.', 'Configure routing with guards in Angular to manage navigation and access to components.', 'Integrate a mock backend API using angular-in-memory-web-api to simulate server-side interactions for development and testing.', 'Develop a feedback submission form with validation for required fields and character limits to ensure data integrity.', 'Display real-time notifications for various actions (like feedback submission, rating, and login status) using a custom notification service.', 'Build a dynamic and responsive user interface for login, feedback, and admin dashboard components without using third-party UI libraries.', 'Manage state and communicate between components to handle user actions and feedback updates seamlessly.']}",build-a-customer-feedback-portal-with-real-time-notifications-and-role-based-access-using-angular,Build a Customer Feedback Portal with Real-Time Notifications and Role-Based Access using Angular,"[{'id': 18861496, 'title': 'Faisal Memon', 'url': '/user/faisal-memon-3/'}]"
4741,60,180,"{'id': 183432828, 'title': 'Alton Hardin | 200,000+ Enrollments Worldwide', 'url': '/user/alton-teaches-llc/'}",gen_ai,"<p>In this lab, you'll assume the role of a cybersecurity analyst at Acme Corporation, a mid-sized financial services company. Your manager, the Chief Information Security Officer (CISO), has assigned you to investigate recent suspicious activities that have raised concerns about potential insider threats. You've been tasked with analyzing various logs and reports, assessing potential risks to the company's systems and data, developing a profile of the potential insider threat, creating an incident response plan, and preparing a comprehensive report for management. As part of this assignment, you've been granted access to a new GenAI tool to assist in your analysis, providing an opportunity to evaluate how AI can enhance investigative capabilities in cybersecurity. Your manager emphasizes that while the AI tool is available to support your work, your expertise and judgment remain crucial to the investigation. Throughout this lab, you'll perform an initial manual analysis of the provided data, then incorporate the GenAI tool to deepen your investigation, learning how to effectively leverage AI in cybersecurity analysis while maintaining the critical role of human expertise and judgment.</p>","{'items': ['Analyze Security Logs Using Natural Language Prompts in GenAI to Identify Potential Insider Threats and Anomalous Patterns', 'Compare Manual Log Analysis Findings with Insights Generated from GenAI Text-Based Analysis to Enhance Detection Capabilities', 'Construct a Comprehensive Timeline of Security Events by Integrating Manual Observations and GenAI-Generated Chronological Data', 'Assess Organizational Data Risks Using the CIA Triad Framework, Incorporating Both Traditional Methods and GenAI-Assisted Risk Analysis', 'Develop an Insider Threat Profile Based on Observed Behaviors and Insights Derived from GenAI Pattern Recognition', 'Formulate an Incident Response Plan by Combining Professional Expertise with GenAI-Generated Strategic Recommendations', 'Evaluate the Effectiveness of Traditional Investigation Techniques Versus GenAI-Assisted Text Analysis in This Cybersecurity Incident', 'Create a Management Report That Synthesizes Manual Findings and GenAI-Enhanced Analytical Insights for Effective Communication of the Security Incident']}",conduct-an-ai-enhanced-insider-threat-analysis-using-chatgpt,Conduct an AI-Enhanced Insider Threat Analysis Using ChatGPT,"[{'id': 183432828, 'title': 'Alton Hardin | 200,000+ Enrollments Worldwide', 'url': '/user/alton-teaches-llc/'}, {'id': 10099014, 'title': 'Alton Teaches LLC', 'url': '/user/altonhardin/'}]"
4715,60,90,"{'id': 23218620, 'title': 'Valentin Despa', 'url': '/user/valentin-despa/'}",gen_ai,"<p>You are a machine learning engineer and LangChain expert in an AI task force within an online real estate marketplace company. The data engineering team has scraped a large set of real estate listings and requires your help to extract structured data from the listings for ingestion into the company's data management platform. The team is facing challenges in building a LangChain application that utilizes a large language model (LLM) and leverages prompt templates for structured data extraction. The Task Force Manager has requested your expertise to guide the team in developing this tool. </p><p>Your responsibilities include creating the LangChain application, reading the scraped data, and configuring prompt templates to ensure accurate data extraction. The final deliverable is a fully functional LangChain application capable of converting unstructured real estate property descriptions into structured JSON format for further processing.</p>","{'items': ['Extract structured data from text', 'Obtain valid JSON from an LLM', 'Parse the LLM output as JSON', 'Develop prompt templates', 'Understand the role of few-shot prompting']}",langchain-extracting-structured-data-from-unstructured-text,LangChain: Extracting Structured Data from Unstructured Text,"[{'id': 23218620, 'title': 'Valentin Despa', 'url': '/user/valentin-despa/'}]"
4701,60,120,"{'id': 18861496, 'title': 'Faisal Memon', 'url': '/user/faisal-memon-3/'}",web,"<p>You are a Junior Front-End Developer at TaskFlow Inc., a company known for creating innovative project management tools. Your team is working on developing a new, dynamic task management dashboard to help users better organize and track their daily tasks. The goal is to create a responsive and user-friendly application that allows users to add, edit, delete, and filter tasks while providing detailed information in a modal view. Your manager has tasked you with building the core front-end components using Angular, ensuring the application is ready for future backend integration. Completing this project successfully is essential to delivering a functional product that enhances user productivity and meets the company's quality standards.</p>","{'items': ['Create and configure Angular components, services, and modules to build a dynamic task management dashboard.', 'Implement CRUD operations using Angular forms and services to enable users to create, read, update, and delete tasks.', 'Simulate backend API interactions with Angular services to handle mock HTTP requests and manage application state.', 'Design and develop a responsive user interface that adapts to different device sizes and screen resolutions.', 'Build features that allow users to filter tasks by their status and view detailed task information in a modal.', 'Apply CSS styles to visually distinguish completed tasks using a strikethrough style.']}",build-a-dynamic-task-management-dashboard-using-angular-organize-and-manage-tasks-efficiently,Build a Dynamic Task Management Dashboard using Angular: Organize and Manage Tasks Efficiently,"[{'id': 18861496, 'title': 'Faisal Memon', 'url': '/user/faisal-memon-3/'}]"
4637,60,120,"{'id': 18861496, 'title': 'Faisal Memon', 'url': '/user/faisal-memon-3/'}",web,"<p>You are a Junior Software Developer at Global Finance Solutions, a company that provides financial tools to businesses operating in multiple countries. Your team is tasked with developing a lightweight, offline currency conversion utility for business travelers who need quick access to exchange rates without internet access.</p><p>Your task is to build a command-line application that converts amounts between several predefined currencies using fixed exchange rates. The utility should efficiently handle user input, perform accurate calculations, and display the converted amount. Additionally, you should implement basic error handling to manage invalid inputs and ensure a smooth user experience.</p>","{'items': ['Create a simple but effective command-line interface (CLI) that guides users through currency conversion tasks.', 'Understand and implement file handling in C++ to load and parse exchange rate data from a CSV file.', 'Develop a command-line tool that accurately performs currency conversions using predefined exchange rates.', 'Apply best practices for validating user input in a C++ command-line application, including handling invalid or unexpected input gracefully.', 'Implement robust error handling mechanisms in C++ to manage potential runtime issues, such as file I/O errors and invalid data entries.']}",practical-c-programming-develop-a-command-line-currency-converter,Practical C++ Programming: Develop a Command-Line Currency Converter,"[{'id': 18861496, 'title': 'Faisal Memon', 'url': '/user/faisal-memon-3/'}]"
4635,60,120,"{'id': 18861496, 'title': 'Faisal Memon', 'url': '/user/faisal-memon-3/'}",web,"<p>As a Junior Systems Administrator at FileTech Solutions, you are tasked with developing a suite of command-line tools for file management. One of the essential tools needed is a file copy utility that allows users to duplicate files with ease.</p><p>Your task is to develop a command-line application that efficiently copies the contents of one file to another. You will handle user input to specify source and destination files and implement error handling to manage file read/write issues effectively.</p>","{'items': ['Execute file input/output operations in C++ by developing a file copy utility.', 'Validate user inputs in a command-line interface to ensure error-free file operations.', 'Identify and manage common file handling errors to create robust applications.', 'Design a functional command-line tool for copying files efficiently in C++.']}",build-a-c-utility-for-easy-file-copying,Build a C++ Utility for Easy File Copying,"[{'id': 18861496, 'title': 'Faisal Memon', 'url': '/user/faisal-memon-3/'}]"
